Time_s,Distance_m
0,0
5.7202695504156e-30,5.7202695504156e-34
4.86237765561523e-07,4.86105497217665e-11
1.78054953085245e-06,1.7787886014652e-10
3.08037664254893e-06,3.07513720079173e-10
4.38421167718998e-06,4.37365645745346e-10
5.69205751132066e-06,5.6743610321343e-10
7.00394079075413e-06,6.97728921318306e-10
8.31988775899332e-06,8.28247879760687e-10
9.63992535138554e-06,9.58996817894503e-10
1.09640803687464e-05,1.0899795527932e-09
1.22923800067233e-05,1.22119993181324e-09
1.36248518663149e-05,1.35266183359036e-09
1.49615237493265e-05,1.48436914785663e-09
1.6302423289841e-05,1.6163257392889e-09
1.76475790463332e-05,1.74853555510058e-09
1.8997019358225e-05,1.88100251251736e-09
2.03507730063624e-05,2.01373056384629e-09
2.17088689355039e-05,2.14672366927182e-09
2.30713365674205e-05,2.2799858275852e-09
2.44382053390552e-05,2.41352103103634e-09
2.58095050798312e-05,2.54733330234351e-09
2.71852659826293e-05,2.68142669186609e-09
2.856551861367e-05,2.81580527858747e-09
2.9950293576201e-05,2.95047313744815e-09
3.13396218125694e-05,3.08543436887878e-09
3.27335346373108e-05,3.22069310205308e-09
3.41320636312324e-05,3.35625348465743e-09
3.55352408926624e-05,3.4921197072957e-09
3.69430983617042e-05,3.62829593812649e-09
3.83556687516251e-05,3.76478641312232e-09
3.97729850438873e-05,3.90159538719705e-09
4.11950801417128e-05,4.03872710091897e-09
4.26219878241753e-05,4.17618587264669e-09
4.40537417064169e-05,4.31397599832763e-09
4.54903760991162e-05,4.45210183440554e-09
4.69319255604463e-05,4.59056775471944e-09
4.83784249040824e-05,4.7293781513984e-09
4.9829909314747e-05,4.86853744605905e-09
5.12864144992231e-05,5.00805010434018e-09
5.27479763357945e-05,5.14792060238486e-09
5.42146311575053e-05,5.28815345408286e-09
5.56864156897337e-05,5.42875320516232e-09
5.71633670559348e-05,5.56972443382173e-09
5.86455226513779e-05,5.71107173877951e-09
6.0132920419368e-05,5.85279976572356e-09
6.16255984304613e-05,5.99491316730017e-09
6.31235954791314e-05,6.13741666005481e-09
6.46269504921049e-05,6.28031496819139e-09
6.61357029974661e-05,6.42361286831633e-09
6.76498928445896e-05,6.56731516290353e-09
6.91695605289334e-05,6.71142671122615e-09
7.06947466632348e-05,6.85595237929642e-09
7.22254922244512e-05,7.00089706346299e-09
7.37618391441381e-05,7.14626574638947e-09
7.53038293496697e-05,7.29206340637419e-09
7.68515053906702e-05,7.43829507679068e-09
7.84049103577451e-05,7.58496583848282e-09
7.99640875975348e-05,7.73208079298737e-09
8.15290812140142e-05,7.87964510998141e-09
8.30999355845328e-05,8.02766398173608e-09
8.46766956221314e-05,8.17614264800847e-09
8.62594066603876e-05,8.32508638532975e-09
8.78481148039778e-05,8.47450054012568e-09
8.9442866412621e-05,8.62439048029187e-09
9.10437086765478e-05,8.77476164945249e-09
9.26506889635711e-05,8.92561950574497e-09
9.42638552738056e-05,9.07696956471966e-09
9.58832562912992e-05,9.22881740430797e-09
9.75089412359457e-05,9.38116865107012e-09
9.91409597422625e-05,9.53402896901193e-09
0.000100779362244648,9.687404095844e-09
0.000102424199543155,9.84129980247738e-09
0.000104075523089181,9.99572191996033e-09
0.000105733385141618,1.01506763542313e-08
0.000107397838243699,1.03061690373924e-08
0.000109068935906526,1.04622059917791e-08
0.000110746732162346,1.06187932883893e-08
0.000112431281512714,1.07759370422702e-08
0.000114122639070991,1.09336434260388e-08
0.000115820860880891,1.10919186997757e-08
0.000117526003621297,1.12507691836859e-08
0.000119238124564961,1.14102012544773e-08
0.000120957281774735,1.15702213638605e-08
0.00012268353385863,1.1730836015971e-08
0.00012441694034973,1.18920518029576e-08
