Time_s,Time_ms,Original_Cmd_permille,Ideal_Cmd_Clipped_permille,Ideal_Cmd_Unclipped_permille,Ideal_Actual_Motor_Torque_Nm,Ideal_Commanded_Motor_Torque_Nm,Ideal_Vehicle_Speed_mps,Ideal_Accel_mps2,Ideal_Fx_N,Ideal_FzRear_N
0,0,0,1000,2486.7197483764,366.492468053732,373.00796225646,0,24.2493143724868,6929.55682302493,2489.52455046858
0.016,16,364,1000,2445.42716208568,367.678903181384,366.814074312852,0.386640743547772,24.0862143505639,6910.31458412176,2482.01187811073
0.033,33,600,1000,2448.51616996287,367.333207822706,367.27742549443,0.795479403325404,24.0244626623382,6904.37537015622,2479.69385037258
0.051,51,830,1000,2451.45336153874,367.45230085029,367.718004230811,1.22784554918512,24.0213889789577,6906.76881738863,2480.62794853149
0.072,72,903,1000,2455.10467984237,367.827660880494,368.265701976356,1.73246893802732,24.0412477684513,6913.89098749816,2483.40790091058
0.096,96,920,1000,2460.25111926886,368.445323807614,369.037667890329,2.309845807986,24.076852127724,6925.56891968937,2487.96724477303
0.121,121,917,1000,2466.86278115806,369.281248743476,370.029417173709,2.91232572091484,24.1253722358355,6941.36868373782,2494.1381645189
0.148,148,903,1000,2475.46638491159,370.402974413762,371.319957736739,3.56452780613369,24.1905075997094,6962.56997339011,2502.42294734431
0.177,177,906,1000,2486.41663661928,371.862653915346,372.962495492892,4.26720189794364,24.2752569575296,6990.15893643786,2513.21102523586
0.207,207,895,1000,2499.62818345095,373.653148288275,374.944227517643,4.99692516517996,24.3791935235355,7024.00081697757,2526.45531504695
0.239,239,886,1000,2515.86028139688,375.881240072947,377.379042209531,5.77901258715705,24.5085010610338,7066.1141087763,2542.95387887388
0.271,271,882,1000,2534.33588036396,378.442594332896,380.150382054594,6.56553620923436,24.6571066644337,7114.52702535777,2561.94405746407
0.302,302,873,1000,2554.41143352437,381.24696596843,383.161715028655,7.33229843722605,24.8197589606505,7167.53403845978,2582.76539703861
0.337,337,883,1000,2579.7046310277,384.80256905856,386.955694654155,8.20442423461559,25.0259026519641,7234.74163881816,2609.20872416598
0.376,376,876,1000,2611.2484891285,389.26193090875,391.687273369274,9.18524488733166,25.2843170093339,7319.03379062719,2642.44395287764
0.42,420,888,1000,2651.21141709652,394.939880367072,397.681712564478,10.3046776716199,25.613141471082,7426.3629709836,2684.8756848493
0.469,469,889,1000,2701.36680103846,402.097590112466,405.205020155769,11.5694521829282,26.0273315448199,7561.66849718713,2738.55019768473
0.523,523,890,1000,2763.82944806716,411.046056116821,414.574417210075,12.9883434365593,26.5446205532269,7730.83302146195,2805.94603058463
0.583,583,905,1000,2842.51848943396,422.35682700363,426.377773415095,14.5998626334848,27.1976206362241,7944.66737493999,2891.60608578357
0.65,650,879,1000,2942.62561952355,436.78817869103,441.393842928532,16.4489301201675,28.0293786446016,8217.51746801165,3001.67989962475
0.724,724,863,1000,3069.23583134827,455.086544830708,460.385374702241,18.5606209500166,29.0816986168141,8563.51330585164,3142.53879571486
0.806,806,878,1000,3230.75971561268,478.483001217316,484.613957341901,20.9983497230898,30.4233107534297,9005.96226498617,3324.81130892363
0.899,899,887,1000,3443.35442189349,509.340418126843,516.503163284024,23.9067312469337,32.1857818020649,9589.60445779699,3569.09280190505
1,1000,907,1000,3712.98997496438,548.555366542228,556.948496244658,27.2660284761671,34.4134989445018,10331.4951039156,3886.28121699577
1.406,1406,990,1000,5265.11003073384,775.706934894844,789.766504610076,43.5870346761663,46.9895505528794,14633.5562255168,5906.27306681065
1.906,1906,1000,1000,5807.75885807792,857.452630917325,871.163828711689,69.2716450042008,46.4472494044728,16254.0594884023,9456.48292838341
2.44,2440,1000,1000,6996.05511078544,1049.70697573303,1049.40826661782,96.8274747311826,49.7455370995015,20000,15258.208643873
2.972,2972,1000,1000,6943.28498501014,1041.78226993002,1041.49274775152,120.367012782734,38.7871451248744,20000,21047.9028451326
3.554,3554,1000,1000,5987.4644422543,907.088283233955,898.119666338144,138.686152027282,20.2420693039955,17607.2024844092,26026.808044143
4.138,4138,1000,1000,4937.66544150465,743.589044148671,740.649816225697,145.434019985605,5.57696786647657,14590.7474129059,27699.743429435
4.724,4724,1000,1000,4634.47894440075,695.932433105212,695.171841660112,147.206165031949,1.38451391856109,13710.3422186097,28141.6245319085
5.31,5310,1000,1000,4558.42036889034,683.948959299568,683.763055333552,147.640547258567,0.335055439220477,13488.8924701579,28250.0896350524
5.895,5895,1000,1000,4539.98257423958,681.042312488524,680.997386135936,147.745262483821,0.0807781544862814,13435.1749077979,28276.2458721734
6.481,6481,1000,1000,4535.53135511882,680.340498229891,680.329703267823,147.770508787483,0.0193983422729184,13422.2044955705,28282.5525212173
7.067,7067,1000,1000,4534.4622716187,680.171932504528,680.169340742806,147.776570430599,0.00465670512693441,13419.0891754272,28284.0667787869
7.654,7654,1000,1000,4534.20542484455,680.131434350462,680.130813726682,147.77802662454,0.00111505864597992,13418.3407146022,28284.4305519505
8.24,8240,1000,1000,4534.14396900436,680.121744320837,680.121595350654,147.778375042226,0.000267648744729182,13418.1616296665,28284.5175905953
8.827,8827,1000,1000,4534.12920633117,680.119416620073,680.119380949676,147.77845873734,6.4087448823011e-05,13418.1186105858,28284.5384985788
9.413,9413,1000,1000,4534.12567417824,680.118859688694,680.118851126737,147.778478762414,1.53828852442472e-05,13418.1083177352,28284.5435010685
10,10000,1000,1000,4534.12482732837,680.118725905962,680.118724099256,147.778483572716,3.68336620922434e-06,13418.1058452481,28284.5447027364
