Time,Throttle_Percent
0.000,0.000
0.015,0.473
0.032,0.717
0.050,0.882
0.070,0.917
0.093,0.928
0.118,0.922
0.144,0.915
0.172,0.910
0.201,0.897
0.232,0.893
0.266,0.888
0.302,0.883
0.340,0.887
0.382,0.888
0.427,0.888
0.477,0.894
0.532,0.892
0.591,0.897
0.655,0.913
0.727,0.894
0.808,0.923
0.899,0.917
1.000,0.932
1.401,0.994
1.905,0.995
2.462,1.000
3.035,1.000
3.613,1.000
4.193,1.000
4.773,1.000
5.352,1.000
5.933,1.000
6.514,1.000
7.095,1.000
7.676,1.000
8.257,1.000
8.838,1.000
9.419,1.000
10.000,1.000
